LandCover_4_Mixedtrees,x,y
72.0,-151.04167875,61.87500495
35.0,-135.62501085,61.87500495
43.0,-135.20834415,61.87500495
42.0,-134.37501075,61.87500495
41.0,-133.95834405,61.87500495
0.0,-112.70834235,61.87500495
47.0,84.79167345,61.87500495
0.0,93.12500745,61.87500495
0.0,93.54167415,61.87500495
49.0,93.95834085,61.87500495
0.0,94.37500755,61.87500495
11.0,96.04167435,61.87500495
68.0,96.87500775,61.87500495
0.0,113.12500905,61.87500495
15.0,113.54167575,61.87500495
33.0,113.95834245,61.87500495
31.0,117.70834275,61.87500495
0.0,119.79167625,61.87500495
0.0,120.62500965,61.87500495
0.0,121.87500975,61.87500495
40.0,125.62501005,61.87500495
31.0,126.87501015,61.87500495
0.0,129.37501035,61.87500495
14.0,-151.45834545,61.45833825
100.0,-151.04167875,61.45833825
94.0,-150.62501205,61.45833825
52.0,-150.20834535,61.45833825
35.0,-134.37501075,61.45833825
27.0,-133.12501065,61.45833825
26.0,87.29167365,61.45833825
37.0,95.62500765,61.45833825
64.0,96.04167435,61.45833825
0.0,113.54167575,61.45833825
0.0,113.95834245,61.45833825
0.0,121.04167635,61.45833825
0.0,126.04167675,61.45833825
0.0,126.45834345,61.45833825
0.0,130.20834375,61.45833825
37.0,-151.87501215,61.04167155
53.0,-151.45834545,61.04167155
0.0,-151.04167875,61.04167155
66.0,-136.45834425,61.04167155
78.0,-135.62501085,61.04167155
41.0,-134.79167745,61.04167155
0.0,-134.37501075,61.04167155
58.0,83.95834005,61.04167155
15.0,84.37500675,61.04167155
0.0,84.79167345,61.04167155
81.0,86.87500695,61.04167155
0.0,91.45834065,61.04167155
0.0,91.87500735,61.04167155
32.0,93.54167415,61.04167155
81.0,93.95834085,61.04167155
0.0,94.37500755,61.04167155
3.0,113.54167575,61.04167155
32.0,113.95834245,61.04167155
0.0,116.45834265,61.04167155
0.0,116.87500935,61.04167155
0.0,117.29167605,61.04167155
0.0,118.12500945,61.04167155
0.0,118.54167615,61.04167155
0.0,118.95834285,61.04167155
0.0,119.37500955,61.04167155
0.0,119.79167625,61.04167155
0.0,120.20834295,61.04167155
0.0,120.62500965,61.04167155
0.0,-166.87501335,60.62500485
0.0,-151.87501215,60.62500485
0.0,-151.45834545,60.62500485
0.0,-133.95834405,60.62500485
49.0,-133.12501065,60.62500485
41.0,-130.62501045,60.62500485
42.0,83.12500665,60.62500485
53.0,83.95834005,60.62500485
0.0,84.37500675,60.62500485
0.0,91.04167395,60.62500485
33.0,91.87500735,60.62500485
52.0,93.12500745,60.62500485
92.0,93.95834085,60.62500485
33.0,113.54167575,60.62500485
0.0,113.95834245,60.62500485
0.0,116.04167595,60.62500485
0.0,118.54167615,60.62500485
14.0,119.37500955,60.62500485
0.0,120.20834295,60.62500485
0.0,170.62501365,60.62500485
33.0,-132.70834395,60.20833815
0.0,-118.54167615,60.20833815
17.0,-118.12500945,60.20833815
19.0,-117.70834275,60.20833815
88.0,-116.87500935,60.20833815
43.0,-116.04167595,60.20833815
19.0,-114.37500915,60.20833815
81.0,81.87500655,60.20833815
0.0,91.04167395,60.20833815
0.0,91.45834065,60.20833815
0.0,91.87500735,60.20833815
81.0,95.62500765,60.20833815
80.0,96.04167435,60.20833815
0.0,111.87500895,60.20833815
47.0,112.29167565,60.20833815
0.0,121.04167635,60.20833815
0.0,130.20834375,60.20833815
0.0,130.62501045,60.20833815
39.0,-127.70834355,59.79167145
0.0,-125.20834335,59.79167145
62.0,-118.12500945,59.79167145
61.0,-117.70834275,59.79167145
9.0,-115.20834255,59.79167145
43.0,-111.87500895,59.79167145
0.0,91.04167395,59.79167145
0.0,91.45834065,59.79167145
72.0,91.87500735,59.79167145
0.0,92.29167405,59.79167145
32.0,92.70834075,59.79167145
