ISRICSOILGRIDS_new_average_nitrogen_reduced,x,y
212.0,120.20834295,60.62500485
350.0,170.62501365,60.62500485
144.0,-132.70834395,60.20833815
183.0,-118.54167615,60.20833815
189.0,-118.12500945,60.20833815
146.0,-117.70834275,60.20833815
320.0,-116.87500935,60.20833815
284.0,-116.04167595,60.20833815
209.0,-114.37500915,60.20833815
297.0,81.87500655,60.20833815
292.0,91.04167395,60.20833815
363.0,91.45834065,60.20833815
337.0,91.87500735,60.20833815
233.0,95.62500765,60.20833815
243.0,96.04167435,60.20833815
290.0,111.87500895,60.20833815
252.0,112.29167565,60.20833815
365.0,121.04167635,60.20833815
320.0,130.20834375,60.20833815
302.0,130.62501045,60.20833815
200.0,-127.70834355,59.79167145
188.0,-125.20834335,59.79167145
171.0,-118.12500945,59.79167145
193.0,-117.70834275,59.79167145
188.0,-115.20834255,59.79167145
143.0,-111.87500895,59.79167145
290.0,91.04167395,59.79167145
378.0,91.45834065,59.79167145
292.0,91.87500735,59.79167145
324.0,92.29167405,59.79167145
290.0,92.70834075,59.79167145
296.0,93.12500745,59.79167145
336.0,93.54167415,59.79167145
320.0,93.95834085,59.79167145
260.0,94.37500755,59.79167145
348.0,94.79167425,59.79167145
404.0,95.20834095,59.79167145
258.0,95.62500765,59.79167145
320.0,101.04167475,59.79167145
253.0,111.45834225,59.79167145
250.0,112.29167565,59.79167145
192.0,112.70834235,59.79167145
199.0,113.12500905,59.79167145
297.0,115.20834255,59.79167145
222.0,118.95834285,59.79167145
284.0,130.20834375,59.79167145
642.0,-161.04167955,59.37500475
280.0,-131.45834385,59.37500475
172.0,-119.79167625,59.37500475
672.0,-117.70834275,59.37500475
229.0,-116.45834265,59.37500475
239.0,-115.62500925,59.37500475
186.0,-115.20834255,59.37500475
204.0,-114.79167585,59.37500475
190.0,-114.37500915,59.37500475
232.0,-113.95834245,59.37500475
189.0,70.20833895,59.37500475
266.0,70.62500565,59.37500475
159.0,71.87500575,59.37500475
368.0,78.12500625,59.37500475
331.0,79.37500635,59.37500475
325.0,81.87500655,59.37500475
361.0,83.12500665,59.37500475
379.0,85.62500685,59.37500475
280.0,90.62500725,59.37500475
268.0,91.04167395,59.37500475
243.0,91.87500735,59.37500475
303.0,92.29167405,59.37500475
296.0,92.70834075,59.37500475
294.0,93.12500745,59.37500475
253.0,93.54167415,59.37500475
205.0,93.95834085,59.37500475
243.0,94.37500755,59.37500475
224.0,94.79167425,59.37500475
300.0,95.20834095,59.37500475
226.0,95.62500765,59.37500475
222.0,96.04167435,59.37500475
296.0,99.79167465,59.37500475
284.0,100.20834135,59.37500475
268.0,101.87500815,59.37500475
232.0,111.04167555,59.37500475
255.0,113.12500905,59.37500475
333.0,113.54167575,59.37500475
244.0,117.29167605,59.37500475
187.0,117.70834275,59.37500475
264.0,118.12500945,59.37500475
216.0,119.37500955,59.37500475
323.0,132.29167725,59.37500475
714.0,-136.45834425,58.95833805
299.0,-116.87500935,58.95833805
192.0,-116.45834265,58.95833805
-9999.0,-115.20834255,58.95833805
255.0,-113.95834245,58.95833805
394.0,78.12500625,58.95833805
342.0,79.37500635,58.95833805
299.0,81.87500655,58.95833805
320.0,85.62500685,58.95833805
302.0,89.79167385,58.95833805
355.0,90.62500725,58.95833805
300.0,91.04167395,58.95833805
222.0,91.87500735,58.95833805
259.0,93.12500745,58.95833805
251.0,93.95834085,58.95833805
221.0,95.20834095,58.95833805
221.0,111.87500895,58.95833805
271.0,112.70834235,58.95833805
265.0,115.20834255,58.95833805
240.0,-131.04167715,58.54167135
229.0,-123.12500985,58.54167135
128.0,-119.37500955,58.54167135
